"Plate","Judge","Words"
"plate1","judge1","wing--beast--big--ugly--transformed--vampire"
"plate1","judge10","two--bird"
"plate1","judge11","expression--face"
"plate1","judge12","bird--pale"
"plate1","judge13","animal--wolf"
"plate1","judge14","angel--small"
"plate1","judge15","animal--ribs--dissection--spread--legs--skin--appears--head"
"plate1","judge16","coyote--coyote"
"plate1","judge17","animal--vaguely"
"plate1","judge18","animal--cat--european"
"plate1","judge19","insect--black"
"plate1","judge2","scary--vampire"
"plate1","judge20","bird"
"plate1","judge3","ribs"
"plate1","judge4","bat"
"plate1","judge5","insect"
"plate1","judge6","space--mask"
"plate1","judge7","angel--fun--black--face"
"plate1","judge8","wing"
"plate1","judge9","shape--global"
"plate10","judge1","tree--a_lot--bird--life"
"plate10","judge10","tree--a_lot--two--bird"
"plate10","judge11","expression--face"
"plate10","judge12","colour--nature"
"plate10","judge13","nothing"
"plate10","judge14","animal"
"plate10","judge15","animal--dissection--legs--appears--head"
"plate10","judge16","see_horse--sea--landscape--fish"
"plate10","judge17","centre--colour"
"plate10","judge18","sea"
"plate10","judge19","mask--people--eyes"
"plate10","judge2","colour--very"
"plate10","judge20","colour--female"
"plate10","judge3",""
"plate10","judge4","colour"
"plate10","judge5","mask"
"plate10","judge6","colour--reflection"
"plate10","judge7","colour--female--traumatic--face"
"plate10","judge8","a_lot--colour"
"plate10","judge9","colour--shape--global--mean"
"plate2","judge1","friends--two--sex"
"plate2","judge10","two--hands--dwarf"
"plate2","judge11","expression--face"
"plate2","judge12","colour--black--red"
"plate2","judge13","bone"
"plate2","judge14","friends--two--"
"plate2","judge15","animal--ribs--dissection--legs--appears--head"
"plate2","judge16","people"
"plate2","judge17","light--black"
"plate2","judge18","animal--fight--european"
"plate2","judge19","two--face--hands--people--red"
"plate2","judge2","colour--two--average--"
"plate2","judge20","basin--black--red"
"plate2","judge3","nothing"
"plate2","judge4","insect"
"plate2","judge5","insect"
"plate2","judge6","colour--black--red"
"plate2","judge7","dwarf--butterfly--traumatic"
"plate2","judge8","nothing"
"plate2","judge9","black--red"
"plate3","judge1","two--female--sex--symbiosis"
"plate3","judge10","heart--two--female--movement--people"
"plate3","judge11","body"
"plate3","judge12","colour--black--red"
"plate3","judge13","two--people"
"plate3","judge14","two--sex"
"plate3","judge15","heart--ribs--insect"
"plate3","judge16","female"
"plate3","judge17","dark--black"
"plate3","judge18","africa--africa--dance"
"plate3","judge19","two--child--female"
"plate3","judge2","colour--average"
"plate3","judge20","drawing--child--black--people--red"
"plate3","judge3","frog"
"plate3","judge4","insect"
"plate3","judge5","insect"
"plate3","judge6","basin--colour--black--bone--red"
"plate3","judge7","basin--frog--bone--traumatic"
"plate3","judge8","heart--people"
"plate3","judge9","black--red"
"plate4","judge1","space--space--transformed--very"
"plate4","judge10","tree--two"
"plate4","judge11","body"
"plate4","judge12","bat--bird"
"plate4","judge13","animal--beaver"
"plate4","judge14","animal--devil"
"plate4","judge15","animal--ribs--dissection--legs--appears--head"
"plate4","judge16","beaver--dissection"
"plate4","judge17","animal--vaguely"
"plate4","judge18","africa"
"plate4","judge19","animal--skin"
"plate4","judge2","scary--night"
"plate4","judge20","mean--black--people"
"plate4","judge3","bat--crushed"
"plate4","judge4","bat"
"plate4","judge5","animal--skin"
"plate4","judge6","animal--black"
"plate4","judge7","angel--fun--black"
"plate4","judge8","bat--black"
"plate4","judge9","animal--shape--global--death--skin"
"plate5","judge1","bat--ugly--black--night"
"plate5","judge10","two--insect"
"plate5","judge11","animal--butterfly"
"plate5","judge12","bat--bird"
"plate5","judge13","animal--bat"
"plate5","judge14","animal--devil"
"plate5","judge15","wing--animal--ribs--dissection--legs--appears--head"
"plate5","judge16","beast--bat--butterfly"
"plate5","judge17","animal--bat"
"plate5","judge18","africa"
"plate5","judge19","insect"
"plate5","judge2","bat--cool"
"plate5","judge20","black--butterfly"
"plate5","judge3","bat"
"plate5","judge4","bat"
"plate5","judge5","insect"
"plate5","judge6","animal--bat--black"
"plate5","judge7","apart--bat--fun--black--very"
"plate5","judge8","butterfly"
"plate5","judge9","animal--shape--global--death--butterfly"
"plate6","judge1","mean--fish--fish"
"plate6","judge10",""
"plate6","judge11","nothing"
"plate6","judge12","bat--bird"
"plate6","judge13","animal--wolf"
"plate6","judge14",""
"plate6","judge15","animal--ribs--dissection--spread--legs--skin--appears--head"
"plate6","judge16","dissection--wolf"
"plate6","judge17","dark"
"plate6","judge18","africa--dissection--crushed"
"plate6","judge19","animal--skin"
"plate6","judge2","cool--crushed--tigre"
"plate6","judge20","beast--black--skin"
"plate6","judge3",""
"plate6","judge4","animal--skin"
"plate6","judge5","nothing"
"plate6","judge6","cat--bat"
"plate6","judge7","cat--cat--fun--black--tigre--very"
"plate6","judge8","people--empty"
"plate6","judge9","animal--death--skin"
"plate7","judge1","dance--two--sex--symbiosis"
"plate7","judge10","two--bunny"
"plate7","judge11","body"
"plate7","judge12","apart"
"plate7","judge13","animal--bunny"
"plate7","judge14","head"
"plate7","judge15","animal--dissection--body"
"plate7","judge16","female"
"plate7","judge17","a_lot--light--traumatic--empty"
"plate7","judge18","animal--dance--two--european--bunny--small"
"plate7","judge19","drawing--two--bunny--people"
"plate7","judge2","cool--dance--female"
"plate7","judge20","two--face--black"
"plate7","judge3","frog"
"plate7","judge4","insect"
"plate7","judge5","people"
"plate7","judge6","apart"
"plate7","judge7",""
"plate7","judge8","two--bunny"
"plate7","judge9","apart--pale"
"plate8","judge1","stones--water--lion--movement--nature--life"
"plate8","judge10",""
"plate8","judge11","expression--face"
"plate8","judge12","colour"
"plate8","judge13","animal--cat"
"plate8","judge14","animal"
"plate8","judge15",""
"plate8","judge16","stones--cameleon"
"plate8","judge17","animal--centre--colour--two--landscape--reflection"
"plate8","judge18","africa--two--cat--walk"
"plate8","judge19","cameleon--two--undecided--walk"
"plate8","judge2","colour--two--very"
"plate8","judge20","cameleon--colour"
"plate8","judge3","ribs"
"plate8","judge4","colour--bird--pastel"
"plate8","judge5","cat"
"plate8","judge6","colour"
"plate8","judge7","apart--colour--ugly--head--traumatic"
"plate8","judge8","lion--walk"
"plate8","judge9","colour--shape--global"
"plate9","judge1","beast--big--big--big--insect--legs--transformed--eyes"
"plate9","judge10","fight--two"
"plate9","judge11","nothing"
"plate9","judge12","colour"
"plate9","judge13",""
"plate9","judge14",""
"plate9","judge15","body"
"plate9","judge16","see_horse"
"plate9","judge17","animal--centre--colour--butterfly"
"plate9","judge18","two--water--frog--sea"
"plate9","judge19","undecided"
"plate9","judge2","colour--crushed--butterfly--very"
"plate9","judge20","colour"
"plate9","judge3","frog--frog"
"plate9","judge4","colour--pastel"
"plate9","judge5","mask"
"plate9","judge6","colour--landscape--reflection"
"plate9","judge7","colour--female--big--head--traumatic"
"plate9","judge8","bat"
"plate9","judge9","colour"
